"股票代码","股票简称","所属概念","所属同花顺行业","所属指数类","股本规模[20190301]","股票市场类型","技术形态[20190304]","选股动向[20190304]","买入信号inter[20190304]","卖出信号inter[20190304]","开盘价:不复权[20190304]","收盘价:不复权[20190304]","最高价:不复权[20190304]","最低价:不复权[20190304]","量比[20190304]","委比[20190304]","概念龙头[20190304]","基本每股收益[20180930]","每股净资产bps[20180930]","换手率[20190304]","股息率(股票获利率)[20171231]","成交量[20190304]","成交额[20190304]","振幅[20190304]","涨跌幅:前复权[20190304]","总股本[20190304]","流通a股[20190304]","总市值[20190304]","a股市值(不含限售股)[20190304]","市盈率(pe,ttm)[20190304]","市盈率(pe)[20190304]","静态市盈率(中证发布)[20190304]","市净率(pb)[20190304]","实际控制人[20190304]","实际控制人类型[20190304]","实际控制人持股比例[20190304]","资金流向[20190304]","归属于母公司所有者的净利润[20180930]","交易状态[20190304]","牛叉诊股综合评分[20190301]","主营产品名称","经营范围","省份","城市"
"000002.SZ","万科A","融资融券;深股通;央视财经50;转融券标的;MSCI概念;超级品牌;宝能系;安邦系","房地产-房地产开发-房地产开发Ⅲ","深证A指;地产指数;深证300;深证成指;深证100;创新引擎;深证综指;深证1000;中证超大;中证A股;沪深300;中证全指;中证100;新指数;300精明;中证800","超大盘股","深股通;深证主板A股;含H股的A股;全部A股;深证上市公司;全部上市公司;全部AB股;全部A股(非ST);沪深300;深证A股;深证100R;深证AB股","阴线||放量||平台整理","最近5日资金净流入前十||本月发生大宗交易||本月发生大宗交易","wr超卖","行情收盘价下穿5日","33.4","25.42","33.74","32.85","0.88","-82.98","","1.267","12.6823","0.362","2.89761751","35102254.0","1175142110.0","2.705","1.033","11039152001.00","9715170043.00","324850243918.86","221603030000.000","8.722","25.112","8.784","1.867","不详","不详","","281264460.0","13984559799.91","","6.6","物业管理业务||商品住宅||房地产项目||房产","兴办实业(具体项目另行申报)；国内商业；物资供销业(不含专营、专控、专卖商品)；进出口业务(按深经发审证字第113号外贸企业审定证书规定办理)；房地产开发。","广东省","深圳市"
"000005.SZ","世纪星源","国际板;广东自贸区;固废处理;废气处理;年报预增","公用事业-环保工程-环保工程及服务","中证全指;中证A股;深证综指;深证A指;公共指数;新指数","小盘股","深证A股;全部A股(非ST);全部A股;深证上市公司;全部上市公司;深证主板A股;深证AB股;全部AB股","光头阳线||一阳五线||趋势拐点","圆弧顶||持续5天缩量||箱体震荡","行情收盘价上穿5日||boll突破中轨||kdj超卖","行情收盘价下穿5日","4.23","2.96","4.24","4.07","3.43","24.247","","0.0062","1.2555","2.712","","25798217.0","106852404.0","3.991","-3.268","1058536842.00","951222460.00","3630781368.06","2815618500.000","78.889","-204.189","214.357","2.355","丁芃,郑列列","个人","21.9394","-37998841.0","6531952.44","","6.2","商品房||物业管理服务||酒店服务||不动产经营||交通设施服务||物业出租||客房||餐饮||商品销售||环保工程","生产经营各种喷胶布、针刺布、缝编尼纺布、粘合布、纤维裥棉色织、印花布以及服装、服装面料、辅料、配料、纺织制衣设备、仪器仪表、轻纺原材料。","广东省","深圳市"
"000011.SZ","深物业A","B转H;工业用地;深股通;地方国资改革;广东国资改革;深圳国资改革;粤港澳大湾区","房地产-房地产开发-房地产开发Ⅲ","地产指数;新指数;深证700;中小创新;深证综指;深证1000;中证全指;中证1000;中证A股;深证A指","小盘股","深股通;深证AB股;深证A股;深证上市公司;全部上市公司;全部AB股;全部A股(非ST);全部A股;深证主板A股","阴线||小阴星||缩量","圆弧顶||持续5天缩量||轻资产","行情收盘价上穿5日","行情收盘价下穿5日||dmi死叉","16.57","9.93","17.09","16.48","0.96","-20.154","","0.2419","4.8412","3.859","1.78677784","6787205.0","113203850.0","3.62","2.583","595979092.00","175862626.00","6145430021.2378","1980213200.000","18.46","12.917","11.107","2.374","深圳市国有资产监督管理委员会","地方国资委","63.82","-31550750.0","144188691.4","","5.9","交通运输||饮食服务||房地产开发||房地产||房屋租赁||物业管理","房地产开发及商品房销售，商品楼宇的建筑、管理，房屋租赁，建设监理。国内商业、物资供销业（不含专营、专卖、专控商品）。","广东省","深圳市"
"000018.SZ","神州长城","装配式建筑;PPP概念;兜底增持;民营医院","建筑材料-建筑装饰-专业工程","深证综指;中证A股;中证1000;中证全指;新指数;深证A指;建筑指数","小盘股","深证AB股;全部A股;深证主板A股;深证A股;深证上市公司;全部上市公司;全部AB股;全部A股(非ST)","阴线||回调缩量||缩量","5日均线大于10日均线||持续5天缩量||箱体震荡","行情收盘价上穿5日||mtm金叉","行情收盘价下穿5日","5.75","2.76","5.94","5.74","1.32","-28.156","","0.015","1.2282","1.6","0.65359477","12056977.0","70518252.0","3.448","0.730","1698245011.00","752917869.00","4231525226.7597","2108170000.000","10.878","18.308","14.298","2.156","陈略","个人","34.36","12523166.0","25482633.97","","6.0","印染||粘胶短纤维||建筑装饰业务||装饰工程施工||工程总承包||工程设计","工程设计与施工，基础设施投资，新能源建设与投资，医疗投资，生命技术研究开发，装备制造，防务装备，金融投资，房地产开发。（最终以工商行政管理部门核准为准）。","广东省","深圳市"
"000027.SZ","深圳能源","MSCI概念;互联网保险;低碳;创投;参股新三板;太阳能;新能源;电力改革;租售同权;腾讯概念;融资融券;深股通;宁德时代概念;广东基建;转融券标的;垃圾发电;深圳国资改革;广东国资改革;地方国资改革;互联网+;参股券商;天然气;固废处理;证金持股;风电;节能环保;机构重仓","公用事业-电力-火电","中证A股;深证成指;创新引擎;中证500;深证综指;深证1000;水电指数;深证300;中证800;300精明;新指数;深证200;深证A指;中证700;中证全指","大盘股","全部AB股;深证A股;深证主板A股;全部A股;深证AB股;全部A股(非ST);深证上市公司;全部上市公司;深股通","十字星||缩量||横盘","圆弧顶||持续5天缩量||朝阳产业","行情收盘价上穿5日","行情收盘价下穿5日||macd死叉||roc卖出信号","6.08","5.32","6.18","5.98","2.01","-45.92","","0.1523","5.319","0.517","1.32013201","20482802.0","124286327.0","3.401","-0.375","3964491597.00","3964491597.00","25452036052.74","20575711000.000","29.144","30.431","27.141","0.981","深圳市人民政府国有资产监督管理委员会","地方国资委","48.09","-7928021.4","603862954.55","","6.7","蒸汽||燃气||运输||各种常规能源||新能源||电力||核电||电力环保||垃圾发电业务||垃圾发电||火电||垃圾处理||清洁能源","各种常规能源和新能源的开发、生产、购销；投资和经营能提高能源使用效益的高科技产业；投资和经营与能源相关的原材料的开发和运输、港口、码头和仓储工业等；经营和进出口本公司能源项目所需的成套设备、配套设备、机具和交通工具等；投资和经营与能源相配套的地产、房产业和租赁等产业；各种能源工程项目的设计、施工、管理和经营，以及与能源工程相关的人员培训、咨询及其他相关服务业务；环保技术开发、转让和服务；物业管理、自有物业租赁；在合法取得土地使用权范围内从事房地产开发经营；从事信息系统运营维护，系统集成，软件开发的信息技术服务；计算机软硬件、电子产品、耗材、办公设备的销售与租赁；能提高社会经济效益的其他业务。","广东省","深圳市"
"000032.SZ","深桑达A","仪电仪表;无线充电;电子信息;移动转售;节能照明;高铁;安防;智慧城市;央企国资改革;年报预增;柔性屏","信息设备-通信设备-终端设备","深证综指;中证A股;中证全指;新指数;深证A指;批零指数","小盘股","全部上市公司;全部AB股;深证A股;全部A股;深证主板A股;深证上市公司;深证AB股;全部A股(非ST)","阴线||小阴星||缩量","圆弧顶||持续5天缩量||朝阳产业","行情收盘价上穿5日||kdj金叉||skdj金叉","行情收盘价下穿5日","9.21","8.39","9.38","8.98","1.06","23.448","","0.2021","3.2232","2.101","0.19880716","5872157.0","53765019.0","4.324","5.934","413219661.00","279437184.00","3764431111.71","2146077600.000","85.616","64.149","128.095","2.462","中国电子信息产业集团有限公司","中央国有企业","58.33","-10517477.2","83498665.06","","6.0","电子设备||商品房销售||商品贸易||物业租赁||通信设备||计算机及软件||电子产品||房地产业务||照明||通讯||供应链一体化||物流运输||仓储装卸","研发、生产、销售通信设备、交通通讯设备（生产场地营业执照另行办理）、计算机及软件、办公自动化设备、机械、光机电一体化设备、电子检测设备、税控设备、税控收款机（不含限制项目）、半导体照明产品；监控系统项目的设计、开发、咨询；国内商业、物资供销业（不含专营、专卖、专控商品）；进出口业务按深贸管审证字第523号外贸企业审定证书规定办理；在合法取得使用权的土地上从事房地产开发经营，物业管理及自有物业租赁；兴办实业（具体项目另行申报）；仓储服务、国内外货物运输及代理服务（需许可经营项目另行办理申请）。","广东省","深圳市"
"000039.SZ","中集集团","B转H;LNG动力船;MSCI概念;冷链物流;南海;参股券商;参股基金;工业用地;招商系;油改气;海水淡化;海洋经济;物联网;航运系;船舶升级概念;高端装备;融资融券;深股通;转融券标的;LNG加气站;天然气;中非合作;航运概念;证金持股;雄安新区;粤港澳大湾区;海工装备;可燃冰","机械设备-通用设备-金属制品","深证300;深证200;深证A指;中证800;新指数;中证全指;中证A股;中证700;创新引擎;中证500;深证1000;深证综指;深证成指;制造指数","大盘股","深证AB股;深证上市公司;深证A股;全部AB股;含H股的A股;深股通;全部A股(非ST);全部A股;全部上市公司;深证主板A股","光脚阳线||光头阳线||向上跳空缺口","光脚阳线||低估值||圆弧顶","行情收盘价上穿5日||boll突破中轨||kdj金叉","wr超买","18.76","11.38","19.43","18.65","1.78","-52.489","","0.759","10.8292","1.329","1.183551","16842162.0","322207070.0","4.187","-0.175","2985219036.00","1267761901.00","31080263526.56","13881993000.000","14.584","33.047","14.216","1.066","不详","不详","","90258222.0","2317046000.0","","5.5","道路运输车辆||能源||化工||液态食品装备||海洋工程||空港装备||物流装备与服务||房地产||重卡||房地产开发||集装箱制造||集装箱服务||空港设备业务||专用车辆||运输设备||物流装备||装备||低价钢材||海洋工程装备||海洋工程设备||能源化工装备||干货箱||能化食品装备||能源化工设备||海工装备||能化装备||车辆业务||lng||干箱||集装箱业务||能源装备||罐储装备||商用车||物流服务","现代化交通运输装备、能源、食品、化工等装备的制造及服务业务,其中主要包括制造修理各种集装箱及其有关业务,利用现有设备加工制造各类零部件结构件和有关设备,并提供切割、冲压成型、铆接表面处理,包括喷沙喷漆、焊接和装配等加工服务;开发、生产、销售各种高技术、高性能的专用汽车、半挂车系列;集装箱租赁;压力容器、压缩机等高端燃气装备产品的研发、生产、销售及天然气输配系统的集成业务;静态储罐、罐式码头设备的生产;在LNG、LPG及其他石油化工气体的存贮、处理领域,为客户提供EP+CS(设计、采购和建造监工)等技术工程服务。除此之外,本集团还从事物流服务、海洋工程、铁路货车制造、房地产开发等业务。","广东省","深圳市"
"000042.SZ","中洲控股","一带一路;大运会;工业用地;深股通;粤港澳大湾区","房地产-房地产开发-房地产开发Ⅲ","深证700;新指数;地产指数;深证A指;中证A股;中证全指;中小创新;深证1000;深证综指","中盘股","全部上市公司;全部A股(非ST);全部AB股;深证AB股;深股通;深证上市公司;深证A股;深证主板A股;全部A股","阴线||回调缩量||缩量","光脚阴线||连续3天的dde大单净额大于0||5日均线大于10日均线","dmi金叉","wr超买||skdj超买","15.67","11.59","15.81","15.56","0.81","-77.604","","1.1395","10.6414","0.09","1.23228589","438102.0","6848357.2","1.597","2.839","664831139.00","485435830.00","8529783513.37","8174739400.000","9.325","31.803","17.913","1.599","黄光苗","境外","45.1395","-3425789.0","757553978.08","","6.4","物业租赁||酒店经营||房地产开发","房地产开发及商品房的销售、管理；承接建筑安装工程；自有物业租赁。","广东省","深圳市"
"000055.SZ","方大集团","APEC会议;幕墙;新能源;炭素;节能照明;建筑节能;粤港澳大湾区;光伏概念;年报预增","建筑材料-建筑装饰-专业工程","深证700;新兴综指;新指数;深证A指;中证A股;中证1000;中证全指;制造指数;中小创新;深证1000;深证综指","中盘股","全部上市公司;深证上市公司;全部AB股;全部A股(非ST);全部A股;深证AB股;深证主板A股;深证A股","阴线||小阴星||缩量","圆弧顶||优质股||5日均线大于10日均线","rsi金叉","行情收盘价下穿5日","8.15","4.84","8.33","8.05","0.49","-5.887","","0.28","2.8403","2.569","2.47524752","17424211.0","142573580.0","3.423","10.000","1155481686.00","678298229.00","5928420151.7346","3221916600.000","5.048","20.275","5.058","1.709","熊建明","个人","17.098","4884554.9","321470008.08","","5.5","轨道交通设备||轨道交通设备产业||照明器具||幕墙系统及材料||屏蔽门||芯片||照明||地铁屏蔽门及服务||led灯具||光伏发电及led产品||房产销售","（1）幕墙分部，生产及销售幕墙材料、建筑幕墙设计、制作和安装；（2）轨道交通分部，装配、加工地铁屏蔽门；（3）房地产分部，在合法取得使用权的土地上从事房地产开发经营、物业管理；（4）新能源分部，光伏电站发电、光伏电站销售；光伏设备的研发、安装、销售，光伏电站工程的设计、安装;照明灯具、灯用电器附加及其他照明器具、LED产品、五金制品的研发、设计、生产、销售和安装。","广东省","深圳市"
"000065.SZ","北方国际","中巴经济走廊;新能源;航天军工;马歇尔计划;深股通;一带一路;轨道交通;白马股;中非合作;风电;中兵系","建筑材料-建筑装饰-专业工程","深证综指;深证1000;建筑指数;中证全指;中证1000;中证A股;深证A指;新指数;深证700;中小创新","中盘股","深证主板A股;深证AB股;深股通;深证A股;全部A股(非ST);全部AB股;深证上市公司;全部上市公司;全部A股","阴线||光头阴线||缩量","圆弧顶||持续5天缩量||朝阳产业","kdj超卖||kdj金叉||skdj金叉","行情收盘价下穿5日","15.3","7.93","15.87","15.2","1.35","27.977","","0.57","5.2454","1.024","0.65934066","4178902.0","65242757.0","4.351","-0.502","769505410.00","628943607.00","7156400313.0","5213942500.000","11.213","16.354","14.442","1.622","中国北方工业有限公司","不详","43.17","17588542.0","441380184.33","","6.0","国内建筑工程||房地产销售||境内国际招标工程||伊朗德黑兰地铁||伊朗电气化铁路||房地产||国际工程承包","各类型工业、能源、交通、民用工程建设项目的施工总承包；承包境外工程及境内国际招标工程；上述境外工程所需的设备、材料出口；对外派遣实施上述境外工程所需的劳务人员；自营和代理各类商品及技术的进出口业务，但国家限定公司经营或禁止进出口的商品及技术除外；经营进料加工和“三来一补”业务；经营对销贸易和转口贸易；铝型材、铝门窗、铝制品、建筑幕墙和室内外装饰工程设计、制作、施工、机械安装及修理。（依法须经批准的项目，经相关部门批准后依批准的内容开展经营活动。）","北京市","丰台区"
