"股票代码","股票简称","高管姓名","高管职务","高管薪酬","高管性别","高管国籍","高管学历","高管毕业学校"
"000007.SZ","全新好","智德宇","总经理","650700.0","女","中国","本科","不详"
"000007.SZ","全新好","陈伟彬","董事会秘书","347900.0","男","中国","本科","不详"
"000007.SZ","全新好","杨莎娜","财务总监","","女","中国","本科","不详"
"000007.SZ","全新好","周原","副总经理","530800.0","男","中国","本科","不详"
"000010.SZ","美丽生态","何婷","证券事务代表","","女","中国","本科","不详"
"000010.SZ","美丽生态","郭为星","副总经理","121900.0","男","中国","不详","不详"
"000010.SZ","美丽生态","高仁金","副总经理","121900.0","男","中国","不详","不详"
"000010.SZ","美丽生态","李德友","总经理","101400.0","男","中国","本科","不详"
"000010.SZ","美丽生态","林松","常务副总经理","","男","中国","硕士","不详"
"000010.SZ","美丽生态","詹文青","财务负责人","","男","中国","本科","不详"
"000010.SZ","美丽生态","卜绍芳","审计经理","","男","中国","本科","不详"
"000010.SZ","美丽生态","金小刚","董事会秘书","","男","中国","硕士","不详"
"000046.SZ","泛海控股","刘国升","财务总监","5600000.0","男","中国","硕士","杭州电子工业学院||武汉大学"
"000046.SZ","泛海控股","陆洋","证券事务代表","","男","中国","本科","不详"
"000046.SZ","泛海控股","陈怀东","董事会秘书","4860000.0","男","中国","本科","不详"
"000046.SZ","泛海控股","陈怀东","副总裁","4860000.0","男","中国","本科","不详"
"000046.SZ","泛海控股","舒高勇","副总裁","3472800.0","男","中国","博士","不详"
"000046.SZ","泛海控股","李秀红","证券事务代表","","女","中国","硕士","不详"
"000046.SZ","泛海控股","程果琦","法律合规总监, 风险控制总监","","男","中国","硕士","不详"
"000046.SZ","泛海控股","宋宏谋","总裁","4681000.0","男","中国","博士","不详"
"000046.SZ","泛海控股","李能","人力资源总监","0.0","男","中国","本科","不详"
"000046.SZ","泛海控股","李能","人力行政总监","0.0","男","中国","本科","不详"
"000046.SZ","泛海控股","陈基建","审计监察总监","3591000.0","男","中国","硕士","不详"
"000046.SZ","泛海控股","潘瑞平","行政总监","2600000.0","男","中国","硕士","不详"
"000046.SZ","泛海控股","潘瑞平","副总裁","2600000.0","男","中国","硕士","不详"
"000065.SZ","北方国际","杜晓东","董事会秘书","821100.0","男","中国","硕士","悉尼麦考瑞大学||南京理工大学||北京理工大学"
"000065.SZ","北方国际","单钧","副总经理","864300.0","男","中国","本科","北京工业大学"
"000065.SZ","北方国际","王晓冰","副总经理","896700.0","男","中国","本科","北方交通大学"
"000065.SZ","北方国际","郭永春","副总经理","752600.0","男","中国","硕士","不详"
"000065.SZ","北方国际","原军","总经理","","男","中国","本科","不详"
"000065.SZ","北方国际","刘博","证券事务代表","","不详","中国","不详","不详"
"000065.SZ","北方国际","陈翔","副总经理","","男","中国","硕士","不详"
"000065.SZ","北方国际","郝峰","副总经理","1080300.0","男","中国","博士","不详"
"000065.SZ","北方国际","严家建","财务总监","821100.0","男","中国","硕士","不详"
"000006.SZ","深振业A","杜汛","董事会办公室主任","720400.0","女","中国","本科","不详"
"000006.SZ","深振业A","杜汛","董事会秘书","720400.0","女","中国","本科","不详"
"000006.SZ","深振业A","于冰","财务总监","500000.0","女","中国","硕士","不详"
"000006.SZ","深振业A","刘新馨","审计部总经理","","女","中国","硕士","不详"
"000006.SZ","深振业A","李伟","副总裁","987800.0","男","中国","本科","不详"
"000006.SZ","深振业A","朱新宏","总裁","690600.0","男","中国","硕士","不详"
"000006.SZ","深振业A","张光柳","副总裁","","男","中国","硕士","不详"
"000006.SZ","深振业A","罗丽芬","证券事务代表","","女","中国","硕士","不详"
"000006.SZ","深振业A","杨晓东","副总裁","851000.0","男","中国","本科","不详"
"000006.SZ","深振业A","高峰","代计划财务部总经理","","男","中国","硕士","不详"
"000066.SZ","中国长城","周庚申","高级副总裁","1109700.0","男","中国","硕士","清华大学"
"000066.SZ","中国长城","郭镇","董事会秘书","657900.0","男","中国","硕士","深圳大学||东北财经大学"
"000066.SZ","中国长城","于吉永","副总裁","172900.0","男","中国","本科","清华大学"
"000066.SZ","中国长城","彭海朝","副总裁","173800.0","男","中国","硕士","西安电子科技大学"
"000066.SZ","中国长城","周在龙","高级副总裁","299900.0","男","中国","硕士","不详"
"000066.SZ","中国长城","徐刚","总裁","340500.0","男","中国","硕士","不详"
"000066.SZ","中国长城","戴湘桃","高级副总裁","356600.0","男","中国","本科","不详"
"000066.SZ","中国长城","刘文彬","财务总监","327100.0","男","中国","硕士","不详"
"000066.SZ","中国长城","段军","高级副总裁","136300.0","男","中国","本科","不详"
"000066.SZ","中国长城","段军","总法律顾问","136300.0","男","中国","本科","不详"
"000066.SZ","中国长城","邓文韬","证券事务代表","","男","中国","本科","不详"
"000009.SZ","中国宝安","陈平","副总裁","3625600.0","男","中国","博士","不详"
"000009.SZ","中国宝安","贺德华","财务总监, 高级副总裁","2206900.0","男","中国","大专","不详"
"000009.SZ","中国宝安","陈政立","总裁","5341900.0","男","中国","硕士","不详"
"000009.SZ","中国宝安","钟征宇","高级副总裁","4335300.0","男","中国","硕士","不详"
"000009.SZ","中国宝安","唐智乐","证券事务代表","","男","中国","硕士","不详"
"000009.SZ","中国宝安","张渠","副总裁","2827300.0","男","中国","硕士","不详"
"000009.SZ","中国宝安","郭山清","董事局秘书","2721400.0","男","中国","硕士","不详"
"000027.SZ","深圳能源","邵崇","董事会秘书","768600.0","男","中国","博士","不详"
"000027.SZ","深圳能源","郭志东","副总经理","889900.0","男","中国","博士","不详"
"000027.SZ","深圳能源","李英峰","副总经理","848300.0","男","中国","本科","不详"
